#Types Before Cut: 11091
#Types After Cut: 9674
#Search Hits: 0
432	7	18.588	двери
433	7	18.588	детство
434	7	18.588	детьми
435	7	18.588	друзьями
436	7	18.588	ездить
437	7	18.588	ехали
438	7	18.588	живёт
439	7	18.588	забыла
440	7	18.588	задание
441	7	18.588	карл
442	7	18.588	квартиры
443	7	18.588	красивый
444	7	18.588	ненавижу
445	7	18.588	нету
446	7	18.588	ноль
447	7	18.588	одни
448	7	18.588	парень
449	7	18.588	понравилась
450	7	18.588	пошёл
451	7	18.588	пытаюсь
452	7	18.588	ребят
453	7	18.588	секунд
454	7	18.588	скажи
455	7	18.588	сорок
456	7	18.588	супер
457	7	18.588	троих
458	7	18.588	троллейбус
459	7	18.588	человечек
460	7	18.588	читаю
461	7	18.588	чё
462	16	18.531	реально
463	13	18.434	другую
464	13	18.434	улице
465	9	18.013	брали
466	9	18.013	друзей
467	9	18.013	едем
468	9	18.013	женщина
469	9	18.013	жил
470	9	18.013	институте
471	9	18.013	маленькая
472	9	18.013	мое
473	9	18.013	нечего
474	9	18.013	смеется
475	9	18.013	твоя
476	27	17.831	ей
477	153	17.607	еще
478	17	17.144	разные
479	23	16.998	равно
480	10	16.973	мной
481	10	16.973	написано
482	29	16.941	соответственно
483	25	16.879	лучше
484	78	16.720	больше
485	11	16.509	пошел
486	11	16.509	скажем
487	11	16.509	считаю
488	19	16.464	говоря
489	12	16.334	друзья
490	13	16.330	языка
491	21	16.102	виктор
492	6	15.932	distinct
493	6	15.932	onion
494	6	15.932	part
495	6	15.932	автобус
496	6	15.932	автобусе
497	6	15.932	ам
498	6	15.932	антифриз
499	6	15.932	бабуля
500	6	15.932	бабушки
501	6	15.932	бешбармак
502	6	15.932	бутово
503	6	15.932	вау
504	6	15.932	верно
505	6	15.932	волосы
506	6	15.932	восемнадцать
507	6	15.932	выпускной
508	6	15.932	вышла
509	6	15.932	гончар
510	6	15.932	готовился
511	6	15.932	жигули
512	6	15.932	загрузили
513	6	15.932	запомнила
514	6	15.932	играли
515	6	15.932	идёт
516	6	15.932	книги
517	6	15.932	колесо
518	6	15.932	коллектив
519	6	15.932	кормила
520	6	15.932	красиво
521	6	15.932	культура
522	6	15.932	лагере
523	6	15.932	лингвистике
524	6	15.932	литературу
525	6	15.932	лук
526	6	15.932	любимый
527	6	15.932	математике
528	6	15.932	мгм
529	6	15.932	молодец
530	6	15.932	мужик
531	6	15.932	немец
532	6	15.932	ногой
533	6	15.932	обед
534	6	15.932	орешки
535	6	15.932	погрей
536	6	15.932	подумала
537	6	15.932	покупайте
538	6	15.932	полу
539	6	15.932	польский
540	6	15.932	понравился
541	6	15.932	поступил
542	6	15.932	преподаватели
543	6	15.932	причём
544	6	15.932	пятёрка
545	6	15.932	саш
546	6	15.932	семьдесят
547	6	15.932	слышно
548	6	15.932	снимали
549	6	15.932	спал
550	6	15.932	спрашивают
551	6	15.932	спросить
552	6	15.932	студенты
553	6	15.932	сынок
554	6	15.932	убирай
555	6	15.932	учителей
556	6	15.932	учителем
557	6	15.932	худи
558	6	15.932	чувак
559	6	15.932	шёл
560	6	15.932	щас
561	6	15.932	этаж
562	6	15.932	эх
563	64	15.854	тогда
564	17	15.708	заниматься
565	8	15.580	дверь
566	8	15.580	интересный
567	8	15.580	паре
568	8	15.580	работала
569	8	15.580	родителей
570	16	15.360	естественно
571	16	15.360	уж
572	18	14.809	е
573	18	14.809	разных
574	9	14.700	берут
575	9	14.700	историю
576	9	14.700	какого
577	9	14.700	машине
578	9	14.700	можете
579	9	14.700	половиной
580	9	14.700	тяжело
581	73	14.656	поэтому
582	13	14.518	завтра
583	13	14.518	минус
584	13	14.518	спокойно
585	24	14.483	понятно
586	11	14.276	посмотреть
587	16	14.000	наша
588	99	13.960	чтобы
589	26	13.759	плюс
590	18	13.640	каким
591	15	13.620	вас
592	15	13.620	метро
593	355	13.613	но
594	22	13.505	дальше
595	20	13.503	каких
596	50	13.352	него
597	5	13.277	num
598	5	13.277	арахис
599	5	13.277	бабушку
600	5	13.277	баллов
601	5	13.277	венера
602	5	13.277	вернее
603	5	13.277	видела
604	5	13.277	вкусный
605	5	13.277	вложил
606	5	13.277	вырезать
607	5	13.277	выставках
608	5	13.277	вышло
609	5	13.277	гешу
610	5	13.277	горбачёв
611	5	13.277	гости
612	5	13.277	грязь
